Rating;Cocoa Percent
3.75;63%
2.75;70%
3.0;70%
3.5;70%
3.5;70%
2.75;70%
3.5;70%
3.5;70%
3.75;70%
4.0;70%
2.75;70%
3.0;70%
3.25;70%
3.75;70%
2.75;70%
3.0;70%
3.25;70%
4.0;70%
3.25;70%
3.5;70%
4.0;63%
3.5;70%
3.75;63%
3.75;70%
3.75;70%
2.75;60%
3.25;80%
3.5;88%
3.5;72%
2.75;55%
3.0;70%
3.0;70%
3.75;75%
2.75;75%
2.75;75%
2.75;65%
2.75;75%
3.0;75%
2.5;75%
2.5;75%
3.5;70%
3.5;70%
3.5;70%
3.5;70%
2.75;60%
3.0;60%
2.5;60%
2.5;60%
2.75;60%
2.5;60%
3.0;60%
3.25;80%
3.0;60%
3.25;60%
4.0;70%
3.75;70%
4.0;70%
3.0;70%
3.0;70%
2.75;70%
3.5;70%
3.0;70%
3.75;70%
3.0;70%
2.75;70%
2.75;85%
3.0;85%
3.25;72%
3.5;73%
3.0;64%
3.25;66%
3.25;75%
3.25;63%
3.25;70%
3.5;68%
3.75;70%
4.0;70%
4.0;75%
5.0;70%
3.0;70%
3.0;70%
3.5;70%
3.75;70%
4.0;70%
3.5;70%
3.5;63%
5.0;70%
4.0;66%
3.25;75%
2.75;85%
3.75;50%
3.75;75%
4.0;60%
3.0;75%
3.5;75%
3.0;75%
2.5;72%
2.75;75%
3.0;75%
3.5;70%
3.75;70%
3.5;73%
3.25;70%
3.25;70%
3.5;70%
3.75;70%
3.5;70%
4.0;70%
4.0;70%
3.75;70%
3.25;70%
3.25;73%
3.5;70%
3.5;68%
3.75;70%
3.5;70%
3.75;70%
4.0;70%
2.75;75%
3.25;70%
3.5;75%
3.25;72%
3.75;72%
4.0;72%
2.75;72%
1.75;100%
3.75;72%
3.25;72%
3.25;72%
3.5;72%
2.5;75%
2.75;72%
1.75;72%
3.0;80%
3.0;75%
3.25;72%
3.75;72%
2.75;72%
3.75;68%
3.75;72%
3.75;70%
3.75;77%
2.5;75%
3.0;70%
3.25;80%
3.5;70%
3.0;70%
2.5;70%
